id:ID(Student),name,enrollmentDate,expectedGraduation,learningStyle,preferredCourseLoad:int,preferredPace,workHoursPerWeek:int,financialAidStatus,preferredInstructionMode
YO91750,Kristen Hanna,2024-11-28,2028-06-10,Reading-Writing,4,Part-time,26,Self-Pay,In-person
BU30827,Kelly Walker,2024-10-02,2026-05-29,Reading-Writing,5,Part-time,40,Self-Pay,Online
EB55549,Sherry Buck,2022-08-12,2028-10-30,Reading-Writing,2,Accelerated,0,FinancialAid,In-person
LP91068,John Harris,2025-08-12,2028-07-03,Visual,3,Standard,19,FinancialAid,Online
RU46405,Jared Shaw,2024-12-10,2028-09-02,Visual,5,Part-time,38,Loans,In-person
AI35006,Nicholas Todd,2022-05-08,2027-05-29,Reading-Writing,4,Standard,19,FinancialAid,Online
IZ22658,Michael Reed,2024-04-04,2027-03-20,Reading-Writing,3,Standard,3,Scholarship,In-person
YW71284,Michael Soto,2025-11-25,2029-08-04,Reading-Writing,3,Standard,20,Self-Pay,In-person
JG88622,Tyler Bryant,2023-01-19,2028-07-04,Kinesthetic,3,Part-time,39,Self-Pay,In-person
HJ53598,Renee Edwards,2025-09-22,2028-11-20,Visual,5,Standard,8,FinancialAid,In-person
DF83939,Andrew Schneider,2025-09-14,2026-11-24,Reading-Writing,5,Part-time,31,FinancialAid,In-person
OM35998,Larry Castaneda,2023-09-01,2025-12-18,Reading-Writing,4,Standard,6,Loans,In-person
HW56814,Jesus Collins,2023-07-14,2027-01-08,Visual,4,Standard,18,Self-Pay,In-person
GI17239,David Ponce,2023-11-23,2027-05-13,Kinesthetic,3,Accelerated,0,Scholarship,In-person
PD87945,Travis Simpson,2025-04-03,2028-02-23,Visual,5,Standard,13,FinancialAid,Hybrid
TO00946,Stephanie Barton,2025-10-09,2027-08-22,Auditory,2,Standard,20,FinancialAid,Hybrid
WR15472,Jeffrey Cooper,2023-03-24,2026-08-11,Reading-Writing,4,Standard,2,Loans,Hybrid
ZY58591,Melissa Lopez,2024-01-07,2028-12-05,Visual,3,Standard,8,FinancialAid,In-person
BN03816,Matthew Golden,2022-12-01,2027-07-24,Auditory,5,Part-time,36,FinancialAid,Hybrid
MI02580,Dustin Marsh,2022-10-29,2026-09-29,Visual,2,Accelerated,0,FinancialAid,In-person
SQ18760,Mary Garcia,2024-06-20,2027-04-24,Auditory,2,Standard,6,Loans,In-person
YO61017,Vickie Martin,2023-07-17,2027-04-30,Visual,5,Standard,8,Scholarship,In-person
LE95645,Max Morales,2024-10-05,2026-08-11,Auditory,3,Standard,1,Self-Pay,In-person
AF43303,Angela Johnson,2024-09-23,2028-05-23,Auditory,5,Standard,20,Loans,Online
GY62557,Ashley Roth,2025-07-10,2028-06-19,Visual,2,Standard,8,FinancialAid,Online
ZK91067,Edward Perez,2025-02-27,2025-08-18,Reading-Writing,4,Standard,8,FinancialAid,Online
DW75169,Edward Martinez,2023-11-01,2027-10-14,Kinesthetic,2,Standard,1,FinancialAid,In-person
KR50357,Derrick Davis,2021-02-19,2027-09-27,Auditory,3,Standard,10,FinancialAid,Hybrid
WG08334,Kristen Rosales,2023-01-28,2026-07-28,Auditory,4,Standard,6,FinancialAid,In-person
QY69721,Corey Wallace,2025-08-25,2026-06-27,Visual,5,Standard,11,FinancialAid,Online
NR86667,Cathy Robinson,2025-02-20,2027-04-19,Reading-Writing,2,Standard,16,Self-Pay,In-person
NU12661,William Evans,2025-09-21,2025-08-08,Reading-Writing,5,Part-time,28,Self-Pay,Hybrid
QV19697,Michael Williams,2022-02-23,2026-10-13,Reading-Writing,3,Standard,14,Self-Pay,Hybrid
NY39540,Dawn Jackson,2025-06-12,2028-08-13,Visual,2,Part-time,30,Scholarship,In-person
CB74600,John Moore,2022-01-23,2026-03-23,Visual,5,Standard,3,Self-Pay,In-person
BW43378,Joseph Abbott,2024-10-18,2025-09-06,Auditory,4,Standard,4,FinancialAid,Online
LF50131,Veronica Davis,2024-01-18,2028-05-14,Kinesthetic,2,Part-time,26,Self-Pay,In-person
MJ14705,James Welch,2024-04-22,2029-11-08,Visual,3,Part-time,32,Loans,In-person
CC96632,Diamond Turner,2022-05-20,2027-09-05,Auditory,5,Accelerated,0,Scholarship,In-person
BZ85976,Daniel Tucker,2024-08-24,2027-02-05,Visual,4,Standard,12,Self-Pay,Online
QO93785,Laura Savage,2024-01-30,2027-06-27,Visual,5,Part-time,23,FinancialAid,In-person
NJ33705,Alan Ferguson,2025-12-29,2027-12-14,Visual,2,Accelerated,0,FinancialAid,In-person
XB34968,Julia Hughes,2024-07-28,2027-09-26,Visual,2,Standard,19,Self-Pay,In-person
WE24392,Justin Barnett,2021-02-03,2025-06-03,Auditory,2,Standard,2,FinancialAid,In-person
YD68656,Erik Cunningham,2022-05-29,2028-02-13,Visual,3,Standard,7,Self-Pay,In-person
WF94058,Courtney Nelson,2024-07-31,2029-09-08,Auditory,3,Standard,1,Self-Pay,In-person
XC73672,Jonathon Allison,2024-02-27,2028-09-24,Auditory,4,Part-time,22,Scholarship,In-person
GD89802,Ashley Hill,2024-06-21,2025-08-21,Visual,2,Standard,9,FinancialAid,Online
TT50706,Sean Cook,2025-11-08,2028-02-23,Visual,5,Accelerated,0,FinancialAid,In-person
UM15124,Jacqueline Hines,2025-09-21,2026-12-12,Visual,3,Standard,20,Self-Pay,In-person
GJ37570,Robin Rich,2024-02-19,2027-12-02,Visual,5,Standard,3,Self-Pay,Online
EC50401,Susan Gomez,2023-12-07,2029-04-17,Reading-Writing,3,Standard,1,Self-Pay,In-person
ZR64164,Terri Anderson,2023-12-08,2027-10-06,Reading-Writing,2,Part-time,24,Self-Pay,In-person
NE95814,Kenneth Hobbs,2021-09-08,2027-03-14,Kinesthetic,4,Accelerated,0,Self-Pay,Hybrid
HD71576,Deborah Sullivan,2022-01-06,2028-10-20,Kinesthetic,2,Standard,20,Scholarship,Online
MU89676,Dana Golden,2022-09-15,2025-12-04,Visual,2,Standard,5,FinancialAid,Online
JP85001,Robert Yoder,2022-09-24,2025-04-09,Visual,3,Standard,3,FinancialAid,Online
KJ55945,Christina Anderson,2022-05-20,2026-02-20,Visual,3,Standard,2,Self-Pay,In-person
TT27164,Kenneth Scott,2024-08-15,2028-10-25,Auditory,4,Accelerated,0,Scholarship,Online
MP42020,Jessica Stewart,2020-06-05,2026-12-05,Kinesthetic,5,Standard,13,Scholarship,Online
FO93396,Olivia Acosta,2023-12-03,2027-07-30,Reading-Writing,2,Standard,17,Self-Pay,In-person
XB08476,Zachary Miller,2025-12-24,2026-07-16,Reading-Writing,2,Accelerated,0,FinancialAid,In-person
BU04099,Alexa Owens,2025-12-07,2026-07-27,Auditory,4,Standard,3,Loans,In-person
GR00304,Lisa Tapia,2024-06-26,2027-12-18,Visual,2,Standard,9,Self-Pay,In-person
GS76889,John Kennedy,2024-04-13,2027-09-21,Kinesthetic,2,Standard,19,FinancialAid,Online
MS20273,David Lopez,2025-09-24,2029-03-24,Reading-Writing,3,Standard,2,Self-Pay,In-person
NH78010,Justin Jackson,2024-05-15,2026-05-03,Visual,5,Standard,13,Scholarship,Online
YS45948,Christopher Patrick,2020-01-11,2025-08-31,Kinesthetic,3,Standard,11,FinancialAid,Hybrid
GT63710,Brandon Mcdonald,2023-07-20,2026-03-08,Kinesthetic,3,Standard,9,FinancialAid,In-person
LT20311,Taylor Nguyen,2025-06-19,2026-07-11,Visual,5,Part-time,39,Scholarship,In-person
OQ61769,Brent Jones,2023-06-10,2027-12-17,Kinesthetic,3,Standard,19,Self-Pay,Hybrid
DJ98899,Cathy Lopez,2023-12-15,2027-11-05,Visual,5,Standard,3,Self-Pay,Hybrid
NP31846,Hannah Knox,2023-11-23,2028-05-25,Visual,3,Standard,5,Loans,Hybrid
PD76679,Kristen Obrien,2024-02-17,2026-07-12,Kinesthetic,5,Part-time,21,Self-Pay,In-person
VW35864,Eric Compton,2025-03-10,2027-01-13,Visual,4,Accelerated,0,Self-Pay,In-person
PL59891,Stacy Dixon,2023-06-12,2025-01-26,Auditory,2,Standard,17,Self-Pay,In-person
XN54429,Seth Roman,2024-12-09,2025-04-07,Reading-Writing,2,Standard,18,FinancialAid,In-person
IW87109,Johnny Young,2021-01-08,2026-07-24,Visual,3,Standard,5,Scholarship,Hybrid
HL40392,John Contreras,2024-01-08,2028-02-09,Visual,2,Part-time,35,FinancialAid,In-person
ZM92876,Paula Adams,2024-03-07,2027-12-26,Reading-Writing,2,Accelerated,0,Loans,In-person
JU25606,Peter Peterson,2025-09-02,2029-05-24,Auditory,4,Standard,5,Loans,Online
GT63198,Faith Frank,2024-02-14,2027-01-11,Kinesthetic,2,Standard,0,Self-Pay,In-person
HR56240,Susan Bryant,2022-07-26,2029-01-30,Kinesthetic,3,Standard,8,FinancialAid,In-person
WV15382,Randy Williams,2021-10-15,2026-04-19,Reading-Writing,4,Standard,10,Self-Pay,In-person
NC76204,Troy Cook,2023-11-27,2026-03-22,Kinesthetic,4,Standard,16,FinancialAid,Online
NS37322,Joe Francis,2024-09-22,2026-06-15,Visual,5,Accelerated,0,FinancialAid,Online
VM21221,Sarah Brown,2022-12-26,2026-07-06,Auditory,3,Standard,4,FinancialAid,In-person
EN95314,Joshua Johnson,2022-10-03,2026-05-29,Reading-Writing,3,Standard,7,Loans,In-person
LF20615,Kevin Hill,2025-05-01,2028-09-28,Reading-Writing,2,Standard,20,Self-Pay,In-person
PG50522,Calvin Brock,2024-07-31,2026-12-16,Reading-Writing,3,Standard,1,Scholarship,In-person
LK08980,Taylor Waters,2025-04-24,2028-04-06,Kinesthetic,5,Part-time,25,Self-Pay,In-person
OA40287,Amanda Campbell,2022-12-05,2027-05-31,Auditory,2,Standard,16,Self-Pay,In-person
IK85363,Jesse Gonzalez,2022-02-01,2026-08-12,Kinesthetic,4,Standard,14,Self-Pay,Online
OL00858,Tanner Larson,2022-06-28,2025-03-05,Visual,5,Part-time,30,FinancialAid,In-person
MH22059,Megan Hanson,2024-05-27,2027-07-15,Visual,4,Standard,1,Loans,In-person
UY04824,Tammy Lee,2021-08-09,2027-08-25,Reading-Writing,5,Standard,16,FinancialAid,Online
CX23748,Ebony Price,2025-06-04,2027-02-16,Visual,4,Standard,10,Self-Pay,In-person
RR13635,Justin Beard,2020-03-21,2025-08-09,Visual,5,Standard,7,Self-Pay,Hybrid
WX68967,Amber Beck,2024-01-30,2027-12-24,Reading-Writing,5,Accelerated,0,FinancialAid,In-person
XO58391,Gary Brown,2025-01-01,2029-08-03,Auditory,3,Standard,8,Scholarship,In-person
HS60633,Erica Peterson,2025-09-02,2028-07-16,Kinesthetic,3,Part-time,24,Loans,Online
CR24529,Courtney Smith,2023-11-15,2029-05-14,Auditory,5,Standard,16,FinancialAid,In-person
LO40190,Rebecca Scott,2023-01-21,2026-11-24,Auditory,3,Standard,8,FinancialAid,In-person
ZX20876,Brett Stokes,2021-03-07,2026-10-10,Reading-Writing,3,Standard,14,Loans,Hybrid
HK52494,Laura Johnson,2024-08-19,2026-01-02,Visual,5,Standard,16,Loans,In-person
HD00504,Andrea Richmond,2022-11-17,2027-12-10,Auditory,2,Standard,5,Scholarship,Online
DA42454,James Decker,2024-12-14,2025-05-18,Auditory,4,Standard,10,Scholarship,In-person
GH64035,Brittany Carr,2025-06-08,2027-01-05,Auditory,4,Standard,15,Self-Pay,Online
OS37523,Michael Nguyen,2023-03-14,2028-07-28,Kinesthetic,4,Accelerated,0,FinancialAid,Hybrid
ZK40169,Amanda Allen,2023-09-07,2026-09-27,Reading-Writing,2,Accelerated,0,FinancialAid,Online
UE93284,Linda Mora,2024-04-30,2029-09-03,Reading-Writing,4,Standard,13,FinancialAid,Hybrid
AY55895,Matthew Freeman,2024-11-03,2027-06-03,Visual,3,Standard,13,Self-Pay,In-person
GT89036,Natalie Wilkins,2025-08-14,2029-11-28,Kinesthetic,4,Standard,19,FinancialAid,Hybrid
PF51983,Tyler Valdez,2025-05-16,2026-07-19,Kinesthetic,3,Standard,20,Self-Pay,In-person
MZ74319,Trevor Higgins,2024-05-18,2027-11-23,Auditory,4,Standard,6,Self-Pay,In-person
ND87350,Brandon Owens,2025-03-24,2026-10-12,Kinesthetic,2,Standard,1,Self-Pay,In-person
MF94286,Larry Murray,2024-04-25,2027-03-23,Auditory,5,Standard,8,Self-Pay,Online
UW36881,Alyssa Williams,2022-12-26,2027-01-01,Auditory,2,Standard,18,Self-Pay,In-person
UL58104,Shannon Graham,2022-01-25,2027-11-30,Visual,3,Standard,9,Self-Pay,Hybrid
BH89494,Kimberly Stafford,2025-03-07,2029-06-30,Visual,5,Standard,5,FinancialAid,Hybrid
EM11165,Chad Hinton,2024-06-01,2028-07-05,Visual,3,Standard,14,Self-Pay,Hybrid
VV37589,Daniel Johnson,2025-12-23,2027-03-17,Kinesthetic,3,Standard,4,FinancialAid,In-person
AF67906,Megan Thompson,2022-11-16,2027-03-10,Auditory,3,Part-time,22,Self-Pay,In-person
FB71771,Katie Boyd,2025-12-22,2027-02-12,Kinesthetic,5,Standard,7,FinancialAid,In-person
KI21431,Frank Davis,2023-01-14,2028-09-03,Reading-Writing,4,Standard,16,FinancialAid,Hybrid
MW95226,Phyllis Coleman,2024-03-11,2026-12-11,Reading-Writing,3,Standard,13,Loans,In-person
AH07508,Mark Castro,2025-06-29,2029-02-03,Kinesthetic,4,Standard,15,Self-Pay,In-person
IF63927,Angela Henderson,2025-02-12,2026-11-13,Visual,3,Standard,1,Loans,In-person
OL57622,Ruben James,2022-07-01,2027-12-28,Reading-Writing,4,Standard,12,Loans,Hybrid
YU76279,William Kennedy,2024-10-09,2029-04-20,Auditory,3,Standard,18,Self-Pay,In-person
ZC55706,Elizabeth Murphy,2020-06-29,2026-11-05,Kinesthetic,4,Part-time,22,FinancialAid,In-person
HY20984,Krystal Ruiz,2025-01-21,2029-11-09,Reading-Writing,5,Part-time,31,Self-Pay,In-person
KD09513,Daniel Hayes,2023-12-30,2029-10-14,Visual,2,Part-time,29,Scholarship,Online
UB54905,Michael Owens,2025-05-07,2027-01-22,Visual,2,Standard,1,Self-Pay,Online
GQ61731,Jeffrey Reynolds,2024-02-15,2028-08-20,Visual,2,Standard,19,Scholarship,Hybrid
DM78893,Brandon Bradley,2022-09-26,2026-04-14,Visual,2,Standard,19,Loans,In-person
RY22160,George Martinez,2025-01-14,2027-06-13,Auditory,4,Standard,14,Loans,In-person
YA56402,Yvonne Morris,2024-05-19,2026-11-12,Visual,3,Accelerated,0,Self-Pay,In-person
PZ05699,Amanda Pugh,2025-03-27,2025-11-06,Reading-Writing,5,Part-time,32,FinancialAid,In-person
VB51674,Kimberly Long,2024-07-11,2026-01-29,Kinesthetic,3,Standard,18,Loans,In-person
TB90693,Jeffery Figueroa,2024-01-10,2026-10-22,Auditory,4,Standard,10,Loans,In-person
NM04751,Amy Cardenas,2023-06-05,2027-10-03,Reading-Writing,3,Standard,0,FinancialAid,Online
BM55272,Maria Figueroa,2024-09-05,2027-06-15,Visual,4,Part-time,33,Self-Pay,In-person
ZK84285,Gregory Olson,2023-03-06,2026-05-13,Kinesthetic,3,Standard,0,FinancialAid,In-person
GY73347,Tina Bowman,2024-07-24,2028-06-16,Visual,3,Standard,5,Scholarship,Hybrid
MC90815,Andrew Lee,2023-08-30,2029-10-05,Reading-Writing,3,Standard,5,Loans,In-person
YF98926,Brittany Lawrence,2025-08-14,2026-01-23,Visual,3,Part-time,30,Loans,Online
HC32578,Carlos Hayes,2025-02-15,2029-05-25,Auditory,4,Standard,18,Loans,In-person
QR08871,Christopher Cole,2025-02-01,2027-09-07,Reading-Writing,5,Standard,11,Self-Pay,In-person
CG37090,Michael Meadows,2023-07-25,2028-12-13,Visual,2,Standard,2,FinancialAid,In-person
AQ89621,Francisco Collins,2024-04-14,2029-04-20,Reading-Writing,2,Standard,3,Scholarship,In-person
OK66787,Eric Cox,2024-02-10,2029-05-21,Visual,3,Standard,19,FinancialAid,Hybrid
EO86277,Christian Banks,2024-10-09,2028-12-24,Visual,4,Part-time,32,FinancialAid,Hybrid
WM12931,Angela Hernandez,2020-07-17,2026-11-16,Auditory,3,Part-time,24,Loans,In-person
EQ56602,Brandon Owens,2023-10-29,2027-02-12,Auditory,2,Standard,10,Loans,Online
CY90181,Alexandria Williams,2024-03-20,2026-12-02,Kinesthetic,5,Standard,9,Self-Pay,Online
IU19079,Crystal Golden,2024-09-04,2026-07-13,Visual,4,Standard,1,Self-Pay,In-person
EJ88212,Kristin Miller,2024-11-27,2027-03-31,Kinesthetic,3,Accelerated,0,Scholarship,In-person
YB64380,Caitlin Harrell,2024-06-25,2029-12-22,Auditory,3,Accelerated,0,Self-Pay,In-person
MB29472,Emily Gibson,2025-08-15,2026-08-07,Visual,4,Part-time,32,FinancialAid,In-person
UI78633,Charles Davis,2024-07-22,2026-06-13,Reading-Writing,2,Standard,15,FinancialAid,In-person
GA80127,Erik Santiago,2024-02-29,2028-05-28,Kinesthetic,4,Standard,15,Self-Pay,Online
DZ94339,Robert Wheeler,2022-01-19,2026-05-09,Auditory,2,Standard,3,Loans,In-person
OD67191,Tina Le,2025-09-17,2029-04-11,Reading-Writing,2,Standard,0,FinancialAid,In-person
PR34363,Dennis Moss,2024-03-16,2029-09-10,Visual,5,Standard,6,Loans,In-person
YE66905,Andrew Porter,2023-08-07,2029-11-26,Visual,5,Part-time,24,FinancialAid,Hybrid
WN46202,Tracy Hicks,2025-09-05,2029-11-16,Reading-Writing,3,Standard,4,Self-Pay,In-person
ZU27194,Anna Osborne,2024-11-30,2027-09-24,Visual,3,Standard,14,FinancialAid,In-person
BC94160,Nicole Ellison,2025-09-24,2027-02-10,Auditory,5,Part-time,33,Self-Pay,In-person
GC43375,Joseph Campbell,2024-03-27,2027-05-11,Visual,5,Accelerated,0,FinancialAid,In-person
NE84460,Hannah Brown,2025-10-22,2027-10-20,Kinesthetic,4,Standard,13,Self-Pay,Hybrid
JI07564,Rodney Chang,2024-12-21,2028-08-03,Auditory,2,Standard,2,Self-Pay,In-person
XV00619,Karen Brown,2025-01-14,2027-03-09,Visual,3,Standard,0,Scholarship,Online
BK23458,James Jordan,2023-02-01,2025-04-07,Auditory,3,Standard,7,Self-Pay,In-person
GT86368,Kimberly Lewis,2024-09-26,2029-11-29,Auditory,3,Standard,11,FinancialAid,In-person
DR44526,Anthony Nguyen,2023-04-04,2026-09-20,Visual,2,Accelerated,0,Self-Pay,In-person
ZC91293,Vicki Clark,2024-11-03,2027-11-03,Kinesthetic,2,Standard,5,Self-Pay,Hybrid
EM51803,Carla Ramirez,2024-05-19,2027-04-02,Visual,3,Standard,8,Self-Pay,In-person
FE42256,Dean Smith,2025-01-07,2025-04-24,Reading-Writing,5,Accelerated,0,Loans,In-person
AV83699,Devin Coleman,2025-03-08,2028-10-21,Visual,2,Accelerated,0,Self-Pay,In-person
KS97166,Michelle Watson,2020-07-12,2026-12-08,Kinesthetic,5,Standard,4,FinancialAid,In-person
SP34892,Patrick Alvarado,2023-07-26,2029-04-07,Visual,3,Standard,12,FinancialAid,In-person
SD52947,Jessica Booth,2025-09-09,2029-03-12,Visual,4,Part-time,20,Self-Pay,In-person
FV91333,Cory Dickson,2024-06-09,2025-07-14,Kinesthetic,2,Standard,0,Self-Pay,In-person
GM14384,Justin Weber,2022-10-04,2026-04-22,Kinesthetic,4,Standard,16,FinancialAid,In-person
FE39432,Christina Brown,2024-06-25,2028-06-25,Reading-Writing,3,Standard,13,Self-Pay,In-person
PL51617,Jenna Barnes,2025-04-22,2027-06-08,Visual,2,Standard,5,Loans,Online
NO98764,David Morrison,2024-10-13,2027-09-01,Reading-Writing,4,Standard,9,FinancialAid,In-person
MH94099,Thomas Baxter,2024-05-13,2028-04-18,Visual,2,Part-time,24,Scholarship,Hybrid
KO20683,Victoria Taylor,2024-01-18,2027-04-02,Auditory,3,Standard,13,Loans,In-person
HR66637,Donna Russell,2021-08-03,2027-08-06,Visual,2,Part-time,22,Self-Pay,In-person
NT74282,Melissa Fernandez,2024-01-23,2026-02-20,Kinesthetic,5,Accelerated,0,Self-Pay,In-person
YH04449,Karl Snow,2025-05-24,2027-04-16,Visual,2,Standard,8,FinancialAid,In-person
YE23635,Kristen Monroe,2025-08-12,2026-12-10,Reading-Writing,3,Standard,6,FinancialAid,In-person
OR26871,Christopher French,2022-01-27,2027-12-02,Reading-Writing,2,Standard,4,Self-Pay,In-person
BG97925,Charles Rogers,2024-12-22,2026-12-22,Kinesthetic,3,Standard,5,Self-Pay,Online
EK83724,Savannah Hudson,2025-08-14,2028-07-02,Kinesthetic,5,Standard,10,Scholarship,Hybrid
WB68904,Gabriella Salazar,2025-01-02,2029-12-12,Kinesthetic,2,Part-time,32,FinancialAid,In-person
GH13313,Ashley Bryant,2023-11-06,2029-03-19,Auditory,2,Standard,19,Self-Pay,Hybrid
WK96612,Jennifer Maxwell,2024-11-06,2026-03-01,Visual,3,Standard,0,FinancialAid,In-person
TZ50801,Stephen Morrow,2023-01-22,2025-09-26,Kinesthetic,4,Standard,5,Self-Pay,Hybrid
CN86103,Brittany Vargas,2024-09-22,2029-01-15,Auditory,3,Standard,17,Scholarship,Hybrid
RY95991,Kathleen Roy,2023-04-13,2026-07-19,Auditory,2,Standard,6,FinancialAid,Online
MZ31048,Peggy Martinez,2022-07-26,2026-12-02,Reading-Writing,5,Standard,5,Self-Pay,In-person
NF96314,Kristen Caldwell,2023-02-15,2026-08-07,Reading-Writing,2,Standard,11,Scholarship,Online
DA81407,Crystal Diaz,2024-05-02,2026-06-06,Visual,2,Part-time,21,Self-Pay,Online
TW82959,David Day,2025-06-08,2027-09-21,Auditory,2,Part-time,30,FinancialAid,In-person
ZX96670,Joanna Adams,2024-09-17,2028-02-14,Auditory,2,Accelerated,0,Scholarship,In-person
SO87313,Willie Padilla,2022-02-19,2026-05-06,Visual,4,Standard,5,FinancialAid,Hybrid
VW90010,Emma Campbell,2020-04-14,2026-08-02,Reading-Writing,3,Part-time,23,Self-Pay,Hybrid
KR21978,Stacey Richard,2025-12-26,2028-05-25,Visual,3,Standard,13,Loans,Hybrid
IP07023,Angela Curtis,2022-07-18,2026-10-09,Kinesthetic,5,Part-time,39,Self-Pay,In-person
QW27009,Kyle Estrada,2025-10-02,2025-09-25,Visual,5,Standard,18,Scholarship,In-person
KB39666,Andrea Miller,2023-07-24,2026-09-25,Reading-Writing,2,Standard,19,Loans,In-person
TL94513,Tracey Bryant,2025-08-16,2027-10-30,Kinesthetic,3,Standard,7,Self-Pay,In-person
BP07404,Catherine Young,2022-05-08,2027-11-18,Auditory,5,Standard,2,FinancialAid,In-person
UR16903,Brian Moore,2024-11-27,2029-01-10,Auditory,5,Standard,13,Loans,Online
FI95861,Angela Martinez,2023-01-26,2025-10-05,Reading-Writing,3,Standard,0,Self-Pay,In-person
FS62802,Rebecca Ward,2023-08-19,2027-12-17,Visual,2,Standard,14,Self-Pay,Hybrid
UW27723,Ricardo Knox,2024-02-29,2029-09-29,Auditory,3,Standard,13,FinancialAid,In-person
KW55218,Michael Tran,2024-08-31,2027-07-17,Auditory,2,Part-time,24,Self-Pay,In-person
GD23658,Julie Hart,2025-09-12,2026-06-19,Auditory,2,Standard,2,Self-Pay,In-person
OX66736,Amber Johnson,2024-03-04,2028-02-05,Visual,2,Part-time,33,Self-Pay,In-person
HH82976,Elizabeth Pope,2021-01-23,2026-07-18,Auditory,5,Part-time,35,Self-Pay,In-person
EM20654,William Smith,2024-10-04,2028-12-11,Visual,2,Part-time,33,Scholarship,In-person
CD89939,Alexander Wells,2023-09-04,2029-05-02,Reading-Writing,5,Standard,20,Self-Pay,In-person
EA91795,Dawn Parker,2024-06-20,2027-07-24,Reading-Writing,3,Standard,15,FinancialAid,In-person
YY03781,Pamela Herrera,2023-07-31,2027-11-05,Visual,3,Part-time,30,FinancialAid,In-person
UG02565,Raymond Wilson,2025-01-25,2029-03-23,Visual,2,Standard,9,Loans,Hybrid
MX25307,Ashley Franklin,2021-12-08,2026-01-05,Kinesthetic,3,Part-time,38,FinancialAid,Hybrid
PG73172,Melanie Maddox,2025-05-05,2028-07-31,Visual,2,Standard,9,Self-Pay,In-person
