id:ID(Student),name,enrollmentDate,expectedGraduation,learningStyle,preferredCourseLoad:int,preferredPace,workHoursPerWeek:int,financialAidStatus,preferredInstructionMode
JZ76423,Theresa Freeman,2024-09-19,2028-10-26,Reading-Writing,4,Accelerated,0,FinancialAid,In-person
LM62974,Tyler Hernandez,2023-05-02,2026-01-19,Visual,5,Standard,20,Loans,Hybrid
KZ59336,Matthew Vazquez,2024-05-19,2026-07-27,Auditory,2,Accelerated,0,Self-Pay,In-person
HN44844,Tabitha Downs,2024-08-21,2027-10-03,Auditory,3,Standard,3,FinancialAid,Hybrid
XM54484,Kimberly Griffin,2024-05-10,2026-03-17,Auditory,3,Standard,10,FinancialAid,In-person
JU19896,Bobby Martinez,2021-02-15,2027-05-27,Visual,2,Standard,20,FinancialAid,In-person
GU21926,Wendy Hess,2024-09-23,2029-04-09,Kinesthetic,3,Accelerated,0,Scholarship,Online
RH19879,Barbara Bryant,2024-09-01,2026-04-10,Reading-Writing,5,Standard,14,Scholarship,In-person
ZH45186,Gerald Bennett,2021-12-30,2026-02-10,Kinesthetic,2,Standard,4,Self-Pay,In-person
SE52755,Nancy Baker,2025-05-19,2026-07-18,Kinesthetic,5,Standard,10,FinancialAid,In-person
UB91751,Richard Boyd,2023-07-09,2027-10-21,Visual,3,Standard,6,FinancialAid,In-person
IY00778,Raymond Wood,2023-03-23,2028-04-19,Visual,4,Standard,4,Loans,In-person
TT50674,Michael Duke,2022-10-19,2026-06-20,Auditory,4,Standard,0,FinancialAid,In-person
AT04654,Chase Taylor,2020-11-06,2025-01-15,Visual,2,Part-time,23,Self-Pay,In-person
AX59416,David Barton,2023-07-09,2025-08-17,Kinesthetic,5,Standard,16,FinancialAid,Hybrid
ZX23568,Paul Morrison,2024-03-17,2028-07-27,Visual,2,Standard,8,FinancialAid,Hybrid
YX06245,Juan Sharp,2025-04-22,2029-04-20,Kinesthetic,5,Standard,2,FinancialAid,Hybrid
VD69513,Brian Pratt,2023-11-21,2025-09-12,Visual,3,Part-time,29,Self-Pay,Online
RQ97671,Lisa Le,2024-04-11,2029-06-17,Auditory,2,Part-time,22,FinancialAid,Hybrid
DG39697,Mary Patton,2024-06-10,2028-02-18,Kinesthetic,5,Standard,0,FinancialAid,Hybrid
HN60547,Cassidy Smith,2024-06-15,2027-01-12,Auditory,3,Standard,20,Loans,Online
EH57320,Amy Williams,2023-05-08,2026-05-31,Kinesthetic,3,Part-time,39,Scholarship,In-person
TY50210,Ashley Barnes,2021-03-11,2026-01-12,Kinesthetic,2,Part-time,26,Loans,Online
YA05268,Alison Olson,2024-05-28,2025-11-18,Kinesthetic,4,Accelerated,0,Self-Pay,In-person
NH76145,Kimberly Becker,2023-08-08,2029-08-25,Kinesthetic,5,Standard,18,Scholarship,In-person
ZB31672,Kevin Johnson,2024-07-15,2025-07-15,Visual,5,Standard,1,FinancialAid,In-person
CW80287,Kurt Conway,2025-01-17,2026-05-22,Visual,2,Standard,4,FinancialAid,Online
NL97742,John Robinson,2024-04-15,2026-09-16,Kinesthetic,3,Standard,2,Scholarship,Online
IA87973,Nicole Ferguson,2025-04-04,2026-07-25,Visual,5,Part-time,29,FinancialAid,In-person
CA37264,Carly Rodriguez,2025-05-14,2027-02-04,Visual,5,Part-time,31,Loans,In-person
NA49258,Amber Gutierrez,2025-09-15,2026-12-12,Visual,2,Standard,14,Scholarship,Online
VG44673,Tabitha Robinson,2024-04-08,2026-11-13,Visual,5,Standard,9,Scholarship,Online
FO42213,Anthony Brown,2024-01-30,2027-01-21,Kinesthetic,5,Standard,19,Self-Pay,In-person
CB21150,Andrew Pratt,2023-04-20,2026-11-16,Visual,5,Part-time,37,Self-Pay,Hybrid
DG79155,Jonathan Fitzgerald,2022-05-06,2026-06-19,Auditory,4,Standard,6,Scholarship,Hybrid
DM07361,Brenda Palmer,2023-04-13,2026-05-05,Kinesthetic,2,Standard,16,Self-Pay,Online
CK72745,Stacey Miller,2025-06-09,2028-04-11,Reading-Writing,3,Standard,4,Loans,Online
RZ35866,Kimberly Lloyd,2023-05-30,2027-11-29,Reading-Writing,2,Part-time,40,FinancialAid,Online
UJ39627,Michael Carr,2023-01-04,2028-07-10,Auditory,4,Standard,15,Loans,In-person
OX00259,Gabriel Contreras,2025-01-19,2028-03-25,Reading-Writing,2,Standard,9,Loans,In-person
XN59291,David Davies,2023-01-10,2027-08-08,Reading-Writing,2,Accelerated,0,Loans,In-person
FW93042,Rachel Reyes,2023-04-28,2027-07-15,Kinesthetic,3,Part-time,28,Self-Pay,Hybrid
DW48076,Krystal Johnson,2025-06-16,2028-05-06,Kinesthetic,5,Part-time,34,Scholarship,In-person
UR13988,Jason Ward,2022-02-06,2025-04-18,Visual,5,Accelerated,0,FinancialAid,In-person
WE73015,Joshua Smith,2021-12-11,2027-05-06,Auditory,3,Standard,14,FinancialAid,In-person
YD98370,Amanda Mcdaniel,2025-11-11,2026-07-30,Kinesthetic,2,Standard,12,FinancialAid,In-person
BI54280,Mark Barton,2025-11-22,2028-11-15,Visual,4,Standard,15,FinancialAid,In-person
MJ94243,Christopher Potts,2022-06-15,2026-08-01,Visual,2,Accelerated,0,Self-Pay,Hybrid
HJ69139,Jessica Mitchell,2024-06-04,2026-07-15,Visual,5,Standard,7,Scholarship,Online
DC45364,Robert Jordan,2022-07-25,2027-06-29,Visual,4,Part-time,26,Self-Pay,Online
OB61296,Elizabeth Hughes,2023-02-16,2029-11-20,Kinesthetic,5,Standard,6,Loans,In-person
TC12494,Lauren Perez,2024-07-28,2028-02-16,Visual,5,Part-time,21,Loans,In-person
KI59913,Joseph Ayala,2025-01-14,2028-06-25,Kinesthetic,3,Standard,11,FinancialAid,Hybrid
SZ03494,Kenneth Payne,2024-10-08,2026-12-26,Auditory,5,Standard,3,Self-Pay,In-person
NX25227,Chris Oliver,2021-10-28,2027-01-22,Auditory,5,Standard,12,FinancialAid,In-person
VZ59801,Deborah Dickerson,2021-12-31,2027-05-25,Visual,5,Part-time,25,Loans,In-person
XI97692,Jose Bryant,2024-12-04,2029-09-28,Reading-Writing,5,Standard,18,Self-Pay,In-person
TD41233,Ryan Davis,2025-02-21,2027-01-03,Visual,4,Standard,7,FinancialAid,Hybrid
WD57286,Amy Barry,2024-03-24,2028-09-22,Kinesthetic,4,Standard,10,Self-Pay,Online
ZF98446,Erica Cordova,2024-09-22,2027-10-09,Kinesthetic,4,Part-time,21,Self-Pay,Hybrid
QQ60031,Matthew Morgan,2025-12-05,2025-05-02,Visual,5,Standard,14,FinancialAid,In-person
FH58150,Sophia Frazier,2024-06-08,2027-07-03,Visual,3,Accelerated,0,Self-Pay,Hybrid
PO25294,Kenneth Martin,2023-05-30,2026-04-02,Visual,5,Standard,7,FinancialAid,Online
PE65742,Nichole Fowler,2024-12-16,2026-08-14,Kinesthetic,2,Part-time,31,Self-Pay,In-person
HY15423,Vicki Davis,2023-12-13,2026-02-17,Auditory,3,Part-time,37,Self-Pay,In-person
SJ51484,Mark Mcfarland,2024-01-20,2027-08-04,Visual,2,Part-time,33,FinancialAid,Online
ES64836,James Perry,2025-11-29,2027-01-22,Reading-Writing,4,Accelerated,0,FinancialAid,Hybrid
RZ25271,Charles Barron,2021-09-13,2026-11-04,Auditory,5,Standard,7,FinancialAid,In-person
TO97483,Victor Butler,2023-02-23,2028-01-10,Reading-Writing,2,Part-time,24,FinancialAid,In-person
IR65653,Marilyn Erickson,2024-08-14,2026-02-24,Kinesthetic,4,Standard,16,FinancialAid,In-person
LW44425,Michael Wilkinson,2025-05-30,2026-06-25,Visual,3,Standard,3,Self-Pay,In-person
BG39832,Jose Morse,2025-11-14,2029-08-26,Visual,5,Standard,13,Self-Pay,Hybrid
VA49867,Jesus Bates,2022-04-19,2027-10-11,Kinesthetic,5,Standard,8,Self-Pay,In-person
YC47807,Amanda Hogan,2025-01-09,2029-04-26,Auditory,5,Part-time,37,Loans,In-person
BY74112,Carl Dixon,2023-12-06,2025-01-21,Reading-Writing,3,Standard,0,Self-Pay,In-person
SR01489,Nathan Ortega,2023-04-27,2028-10-06,Reading-Writing,3,Standard,16,Self-Pay,Hybrid
EG33172,Joel Marshall,2023-09-29,2027-10-01,Kinesthetic,4,Part-time,28,Self-Pay,In-person
ZK44547,Kyle Oconnor,2021-10-03,2027-08-10,Auditory,2,Standard,19,Loans,In-person
TO83810,Linda Bennett,2025-06-12,2026-05-23,Kinesthetic,5,Accelerated,0,Self-Pay,In-person
BG57612,Tracy Myers,2023-10-04,2028-08-01,Visual,3,Standard,7,FinancialAid,In-person
YJ48483,Julie Vargas,2024-05-09,2028-11-02,Visual,3,Part-time,28,FinancialAid,In-person
BU89813,Justin Reyes,2025-04-20,2025-12-10,Reading-Writing,2,Part-time,36,FinancialAid,Online
PI39753,Karen Sims,2025-07-05,2025-05-13,Reading-Writing,3,Standard,15,FinancialAid,Online
QJ54510,Raymond Weiss,2025-07-15,2026-08-28,Visual,3,Standard,16,Self-Pay,Hybrid
YS43543,Donna Johnston,2025-05-09,2026-08-04,Visual,5,Standard,1,FinancialAid,In-person
YP21996,Ryan Mckee,2021-10-23,2025-03-07,Visual,5,Standard,12,Self-Pay,Hybrid
BH69521,Timothy Harrell,2025-11-25,2027-12-24,Auditory,3,Part-time,31,FinancialAid,Online
YX25736,Thomas Ware,2025-03-18,2027-04-12,Visual,5,Standard,10,FinancialAid,Online
TG65306,Pamela Moore,2024-10-26,2026-04-28,Auditory,3,Accelerated,0,Self-Pay,In-person
SS69921,Christopher Sanchez,2025-05-04,2026-08-01,Reading-Writing,4,Part-time,35,Self-Pay,Online
DB96403,Amy Douglas,2025-08-11,2027-11-23,Kinesthetic,5,Standard,0,FinancialAid,Hybrid
AW60788,Sherry Pierce,2025-09-29,2027-09-02,Auditory,4,Standard,19,FinancialAid,In-person
PT07244,Darius Roth,2025-04-16,2027-07-03,Reading-Writing,4,Standard,19,Self-Pay,Hybrid
HE65438,Daniel Cooper,2025-11-04,2028-11-21,Auditory,2,Standard,13,Self-Pay,Hybrid
PT53375,John Lowe,2024-01-29,2027-06-19,Visual,5,Standard,4,Self-Pay,Hybrid
RY90049,Alexa Bullock,2022-08-19,2026-02-27,Kinesthetic,3,Standard,9,Self-Pay,Hybrid
DO92377,Michael Berry,2022-11-21,2025-09-28,Kinesthetic,5,Standard,2,FinancialAid,Hybrid
MK60048,Jeffrey Brown,2024-03-19,2029-04-04,Auditory,5,Standard,3,FinancialAid,In-person
JM63799,Emily Delgado,2022-12-12,2027-08-18,Visual,4,Standard,11,FinancialAid,In-person
LF06366,Patrick Ibarra,2024-06-09,2029-06-01,Kinesthetic,5,Standard,18,Self-Pay,In-person
HX34496,Anthony Young,2025-10-22,2026-10-20,Visual,2,Standard,6,Loans,Hybrid
GZ77459,Michael Arnold,2022-12-27,2027-05-01,Kinesthetic,3,Standard,14,Scholarship,Hybrid
SF03975,Tanya King,2023-04-30,2026-10-01,Kinesthetic,4,Part-time,37,Loans,In-person
TY39274,Dennis Davis,2025-09-05,2026-09-24,Visual,4,Standard,18,Loans,In-person
MT88823,Sarah Wyatt,2025-05-02,2029-03-04,Auditory,5,Standard,10,FinancialAid,In-person
XE47720,Michael Pollard,2023-10-01,2027-06-07,Visual,5,Part-time,28,Loans,Hybrid
WZ32012,Jennifer Cox,2022-04-16,2026-12-15,Auditory,5,Standard,9,Self-Pay,Online
EC58322,Sheila Carter,2025-04-19,2026-04-26,Kinesthetic,2,Part-time,21,Loans,In-person
TG98195,Cory Smith,2025-12-11,2026-08-27,Kinesthetic,4,Standard,6,FinancialAid,Hybrid
DJ74178,Matthew George,2023-11-03,2026-06-06,Kinesthetic,2,Part-time,25,FinancialAid,In-person
FY05274,Carlos Allen,2024-11-28,2027-05-16,Visual,5,Standard,19,Self-Pay,In-person
VW09831,John Gross,2021-01-01,2027-09-21,Visual,5,Standard,17,Loans,In-person
FM62039,Stephanie Jackson,2023-02-04,2026-12-12,Auditory,4,Standard,2,Loans,Online
DH09821,Christopher Kelly,2022-04-08,2027-06-05,Visual,4,Standard,12,FinancialAid,Hybrid
FY69191,Daniel Pittman,2022-05-21,2027-01-16,Visual,3,Standard,12,Loans,In-person
JE53160,Brooke Hodge,2025-06-26,2029-06-01,Reading-Writing,4,Standard,8,Scholarship,In-person
II56552,Lynn Thompson,2021-08-26,2026-02-19,Visual,5,Part-time,22,Scholarship,In-person
GS17000,Briana Wilson,2025-04-18,2028-11-29,Kinesthetic,3,Part-time,28,Self-Pay,Online
PB41726,Kevin Hart,2025-03-28,2026-08-10,Reading-Writing,4,Standard,0,FinancialAid,In-person
YL65813,Zoe Turner,2022-05-15,2027-12-29,Reading-Writing,4,Standard,9,Self-Pay,In-person
WM00434,Frank Mccormick,2023-05-06,2025-02-28,Kinesthetic,3,Part-time,35,Self-Pay,In-person
CA64586,Gregory Roberts,2023-10-20,2027-12-24,Visual,3,Standard,13,Self-Pay,In-person
QU39200,Sarah Smith,2023-05-31,2028-06-19,Kinesthetic,5,Standard,19,Self-Pay,In-person
MT35085,Robert Turner,2024-10-25,2026-06-07,Kinesthetic,4,Part-time,26,FinancialAid,In-person
SC53490,Barbara Lopez,2025-03-27,2029-06-04,Visual,3,Part-time,32,Self-Pay,Online
EE13756,Melinda Ware,2025-02-21,2027-08-01,Visual,4,Standard,19,Self-Pay,In-person
CY24226,Emily Bryant,2024-07-29,2025-08-15,Auditory,3,Part-time,36,Self-Pay,Hybrid
HD07658,Steven Castillo,2025-01-28,2026-03-20,Visual,5,Standard,14,FinancialAid,Hybrid
AC93731,Paul Chung,2025-05-31,2026-05-22,Reading-Writing,5,Standard,13,Loans,In-person
DJ81753,Timothy Nguyen,2023-02-10,2026-12-18,Visual,5,Standard,12,FinancialAid,In-person
TS63551,Chad Donaldson,2023-09-22,2026-10-19,Visual,5,Standard,14,FinancialAid,Online
ZB72787,Mary Medina,2023-03-01,2027-08-29,Auditory,4,Part-time,23,FinancialAid,Online
IZ67278,Joanna Perez,2023-11-25,2029-04-08,Kinesthetic,5,Standard,0,Scholarship,Hybrid
PP70050,Joel Graham,2020-03-12,2026-08-07,Reading-Writing,4,Part-time,29,Scholarship,In-person
QG22242,Allen Smith,2025-03-23,2029-08-01,Reading-Writing,5,Standard,8,Scholarship,Online
TW42275,Rebecca Hughes,2025-03-24,2027-10-28,Reading-Writing,4,Standard,19,Self-Pay,In-person
AW34826,Lindsay Parker,2021-05-08,2026-10-13,Auditory,4,Standard,2,Self-Pay,Hybrid
VI06593,Jessica Williams,2025-01-15,2026-05-04,Kinesthetic,2,Standard,2,FinancialAid,Hybrid
IA41084,Scott Rubio,2025-09-02,2026-08-23,Visual,5,Standard,15,FinancialAid,In-person
RZ03987,Jacqueline Lambert,2022-12-01,2027-10-12,Reading-Writing,4,Standard,17,FinancialAid,In-person
AP32436,Paula Harris,2025-05-22,2026-04-01,Auditory,5,Accelerated,0,FinancialAid,Hybrid
KH81532,Allison Rodriguez,2023-12-17,2027-08-29,Auditory,3,Part-time,28,Loans,In-person
YO03512,James Woodward,2024-11-12,2027-02-15,Visual,2,Accelerated,0,Scholarship,In-person
FR69099,Alexis Butler,2025-01-02,2026-01-14,Reading-Writing,3,Standard,11,Scholarship,In-person
MR93262,Jennifer Peters,2023-12-14,2027-02-10,Auditory,5,Standard,2,Self-Pay,In-person
JF32745,Kaylee Collins,2023-08-05,2026-11-05,Auditory,2,Accelerated,0,Loans,Hybrid
SC35149,Benjamin Cameron,2024-12-01,2029-02-25,Reading-Writing,5,Part-time,39,Self-Pay,Online
MM32449,Tammy Nielsen,2024-09-08,2026-09-04,Visual,5,Standard,6,Scholarship,Online
HU48348,Daniel Acosta,2025-05-21,2029-05-02,Reading-Writing,4,Standard,19,Scholarship,In-person
GI26278,Morgan Rogers,2022-02-21,2026-08-27,Visual,4,Standard,10,Scholarship,Hybrid
VQ79337,Miranda Becker,2023-09-10,2027-01-19,Reading-Writing,4,Standard,10,Self-Pay,In-person
OF32086,Karen Shields,2025-02-12,2026-07-21,Kinesthetic,5,Part-time,31,Self-Pay,Online
CP26945,Madison Palmer,2023-03-27,2027-01-27,Visual,2,Standard,16,Self-Pay,Hybrid
KH69235,Brian Ward,2024-03-02,2027-01-01,Kinesthetic,2,Standard,11,FinancialAid,In-person
TI12363,Scott Harris,2023-12-15,2026-10-18,Reading-Writing,3,Standard,2,Scholarship,In-person
XE46096,Casey Beck,2025-05-11,2025-03-02,Visual,3,Accelerated,0,Scholarship,In-person
TC65363,Kenneth White,2021-04-17,2027-08-09,Auditory,4,Part-time,34,Self-Pay,In-person
ML05631,Wayne Goodman,2024-12-23,2029-04-14,Reading-Writing,3,Standard,17,Scholarship,Online
GW02967,Elizabeth Miller,2025-04-07,2027-04-23,Auditory,5,Standard,18,Scholarship,In-person
JH11171,Renee Ellis,2025-03-10,2029-05-08,Kinesthetic,5,Standard,20,Loans,In-person
LI90466,Brandy Norton,2022-08-10,2026-11-08,Auditory,3,Part-time,36,Scholarship,In-person
VP22144,Kenneth Jackson,2021-07-21,2026-12-01,Auditory,5,Part-time,28,Self-Pay,In-person
ER24493,Lynn Shaw,2021-11-24,2027-06-26,Visual,5,Part-time,23,Self-Pay,Hybrid
GU63456,Michael Woods,2024-05-16,2029-10-16,Visual,4,Part-time,34,Scholarship,Hybrid
GB80796,Jordan Taylor,2022-02-28,2025-03-01,Auditory,4,Standard,17,FinancialAid,Hybrid
IL57368,David Molina,2025-10-31,2027-07-15,Visual,2,Standard,14,Self-Pay,In-person
MF18990,Andrew Morgan,2025-12-05,2027-12-22,Auditory,4,Part-time,24,Self-Pay,In-person
WM98905,Randall Vargas,2021-06-16,2026-11-04,Visual,5,Part-time,21,Self-Pay,In-person
BH60325,Kyle Lara,2022-11-08,2025-03-12,Auditory,4,Standard,0,Self-Pay,In-person
XR19287,Suzanne Ross,2025-12-22,2026-02-27,Auditory,3,Standard,14,Scholarship,Hybrid
WV02126,Daniel Bailey,2025-09-06,2027-11-29,Kinesthetic,5,Part-time,40,Loans,In-person
GM34899,Kristin Haas,2023-09-04,2029-03-31,Visual,5,Standard,6,Scholarship,In-person
CA68181,Melinda Rhodes,2020-07-01,2026-09-09,Kinesthetic,3,Standard,0,Scholarship,In-person
TV02774,Sean Hopkins,2021-03-03,2027-08-28,Auditory,5,Part-time,22,FinancialAid,In-person
GZ30027,Heather Williams,2025-09-08,2028-07-19,Visual,4,Standard,3,Loans,Hybrid
IT09463,Jonathan Brown,2021-08-09,2025-09-04,Kinesthetic,4,Accelerated,0,FinancialAid,Hybrid
NX90855,Marcus Rivera,2021-03-28,2026-10-04,Visual,3,Accelerated,0,Self-Pay,In-person
ZM86590,Patricia Webb,2025-11-24,2027-06-01,Visual,3,Accelerated,0,Loans,Online
OC03480,Richard Gonzalez,2023-10-29,2026-01-26,Auditory,4,Standard,6,Loans,In-person
VQ63608,Rose Williamson,2025-01-15,2028-08-26,Auditory,3,Part-time,29,Loans,In-person
HL33920,Austin Hess,2023-09-05,2027-11-22,Visual,5,Standard,0,FinancialAid,In-person
XB33746,Jesse Armstrong,2025-04-27,2029-11-03,Visual,2,Standard,15,Self-Pay,Hybrid
NB47891,Aaron Matthews,2025-08-14,2025-12-13,Reading-Writing,3,Part-time,25,Loans,In-person
DB17186,Robin Diaz,2024-09-09,2029-10-01,Visual,5,Standard,19,FinancialAid,Hybrid
WD22720,Kimberly Trujillo,2023-03-02,2025-06-24,Reading-Writing,3,Standard,12,Loans,Online
JZ42568,Brandon Fisher,2020-10-29,2027-01-08,Visual,5,Standard,9,Loans,Hybrid
HF53129,Stephanie King,2021-02-17,2026-01-02,Auditory,3,Standard,12,Scholarship,In-person
SB94683,Sarah Townsend,2025-05-28,2027-03-18,Kinesthetic,5,Standard,4,Loans,In-person
TG23068,Susan Bell,2024-09-06,2026-02-21,Reading-Writing,2,Accelerated,0,FinancialAid,Online
EH32394,Michelle Acosta,2023-02-02,2025-04-07,Kinesthetic,3,Standard,17,Scholarship,In-person
NZ52188,Edwin Ball,2025-08-19,2026-06-27,Visual,4,Standard,1,Loans,Online
FE39595,Jessica Whitney,2025-01-29,2027-08-01,Kinesthetic,5,Standard,1,FinancialAid,In-person
PT39830,Christopher Vaughn,2021-01-14,2025-12-04,Reading-Writing,2,Standard,7,FinancialAid,In-person
GQ22124,Cristina Curtis,2025-04-29,2025-10-14,Visual,4,Standard,12,Self-Pay,In-person
ZT52878,Anthony Martinez,2022-05-30,2026-06-23,Reading-Writing,3,Standard,3,Loans,In-person
QX70883,Craig Maxwell,2023-06-07,2028-09-22,Auditory,2,Standard,9,Self-Pay,In-person
EE38529,Sean Brewer,2024-01-14,2029-09-24,Visual,4,Accelerated,0,Scholarship,In-person
RP97086,Sean Fox,2025-03-15,2029-05-31,Visual,4,Part-time,38,Self-Pay,In-person
IG83530,John Francis,2021-10-09,2027-07-11,Visual,2,Standard,4,FinancialAid,Hybrid
NY16190,Danielle Mcbride,2020-02-05,2025-01-27,Visual,4,Standard,12,Self-Pay,In-person
